"База скачана с https://export-base.ru";"Стационарный телефон";"Мобильный телефон";"ИНН";"ОГРН";"Город";"Федеральный округ";"Рубрика";"Подрубрика";"Наличие филиалов";"Координаты(x, y)";"Часовой пояс";
"Алекс-2, аварийно-спасательная служба";"";"+7 (926) 606-66-44, +7 (926) 606-66-33";"772004386955";"307770000013386";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.631 37.764";"Московское время";
"Коннект, многопрофильная компания";"+7 (495) 506-54-46";"+7 (926) 194-57-78";"7729707432";"1127746256373";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.611 38.111";"Московское время";
"Доркомтехника, ООО, аварийная служба";"+7 (495) 490-63-08, +7 (495) 902-63-08";"";"7715007254";"1027700425939";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.830 37.413";"Московское время";
"КАПИТАЛСТРОЙ, группа компаний";"+7 (495) 660-22-61";"";"7702725730";"1107746114717";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.740 37.783";"Московское время";
"Радиан+, ООО, аварийно-диспетчерская служба";"+7 (498) 664-29-32, +7 (495) 508-81-49";"";"7704693280";"1087746767844";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.742 38.010";"Московское время";
"МосОблЭнерго, АО";"+7 (495) 561-74-57, +7 (49831) 7-70-15";"";"7715897046";"5117746036975";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.861 37.122, 55.902 36.857";"Московское время";
"Белый Парус, ООО, аварийно-диспетчерская служба";"+7 (495) 500-15-16";"";"7723851662";"1127747062816";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.830 37.971";"Московское время";
"Сервис Безопасности 50, ООО, аварийно-спасательная служба";"+7 (499) 721-82-70, +7 (499) 721-82-71";"";"7733294001";"1167746701704";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.709 37.886";"Московское время";
"Кантри, ООО, аварийно-диспетчерская служба";"+7 (495) 225-19-27";"";"7743117869";"1157746805864";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.523 37.598";"Московское время";
"Восток сервис, ООО, аварийная служба";"+7 (49657) 5-90-71";"";"7714897910";"1137746136285";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.801 38.462";"Московское время";
"РегионКИПсервис, компания";"+7 (495) 664-52-23";"+7 (929) 940-20-77";"7719789450";"1117746745511";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.428 37.549";"Московское время";
"МВК-Лифт, ООО";"";"+7 (903) 722-33-61";"7715879456";"1117746639174";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.827 37.598";"Московское время";
"ТМ-Сервис";"+7 (499) 391-55-38";"+7 (926) 142-55-38";"7727656944, 7723554290";"";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.714 36.832";"Московское время";
